id,name,artist_popularity,followers,genre,total_streams,total_saves,total_shares,listener_growth_rate
6GkSLJj5CGLIckLIb8J4LR,Late Night Fights,0,184,minneapolis punk,0,0,0,0
1N0VwQy5PRJymrRvlRzDIj,Sub Par All Star,0,491,antiviral pop,0,0,0,0
4Ch4BIKKwMJsiu1oVLDwpX,Nirvana Meditation 8D,0,56,8d,0,0,0,0
5h2iINTOvhghVcpIzrztPP,Red Hot Rebellion,0,394,action rock,0,0,0,0
7dE2MLL2SaI6MujpU5HFVi,Nirvana Tribute Band,0,230,tribute,0,0,0,0
2cdjmWomWpKyQ0Hqge3dVc,Wyli P,0,7479,memphis hip hop,0,0,0,0
5g1ztx52qgchXwiRZYnxT4,Caul,1,688,dark ambient,192955,12543,1510,0.01
3NjmnKYEuN92YZiWVsksy7,Chicago Blues All Stars,1,730,chicago blues,177624,17597,1689,0.01
3hqLYpiTCdvz5lG3YHvi4v,Lew Lewis & The Twilight Trio,1,500,neo-rockabilly,123930,17425,1164,0.01
06hu6DFeD2bfdBAts05Vjh,Lower Life Forms,1,169,deep east coast hip hop,114437,19410,1141,0.01
1DyHyc6v28ZCrA7QlO3YrQ,Whoopee John Wilfahrt,1,211,polka,110191,12650,1310,0.01
3DnNVpLZI0vFQCYIiRmNBR,Dieter Kropp,2,170,german blues,257211,25911,2588,0.03
6XblJ5Nas2VsL9s5H9o2YJ,Chilli Willi & The Red Hot Peppers,2,1605,pub rock,391150,31663,2090,0.02
4BTddjd5LzqjQ5WAViSw0g,Abronia,2,1123,cascadia psych,208393,36562,3442,0.02
1o9N4cb5eZ5x2HLOOrLFIh,Trio Fibonacci,3,195,classical piano trio,454786,31672,3995,0.04
112gcdWQhFcd3clCqWyG53,Thomas Erak and The Shoreline,3,1429,swancore,342240,57303,5353,0.03
2ay2iSqgCqEQHzRlfURw3t,Little Rachel,3,443,neo-rockabilly,300181,53842,4314,0.03
62XaAZIhLNRc3x1KBjzZrI,Bad Actress,3,761,nwocr,335831,38834,5643,0.04
2DEKbExrCn2gANebrwCdKn,Jacob Anderskov,4,402,danish jazz,660707,78480,7745,0.06
68D0NSkqx99hNYB26njylb,M1CK3Y,4,142,future bounce,645307,42661,7337,0.04
4HSlSHDfb3ceY7LxfLM7Gy,Cubic Nomad,4,1068,doomcore,753048,40300,4924,0.05
6pE6WjaGLjkatxCY7ie3x3,Red Hot Blues,4,170,blues band,559183,70604,6795,0.02
1pFgLnwVfIZh0Qztd0LYqY,Gentle Hen,4,378,western mass indie,737908,56762,6640,0.05
3M0uIt6ulZiqlVEdWGojXs,Nirvana Cafe Ambient Healing Meditation Sounds,4,642,meditation,518265,44036,4551,0.03
7w9LYhrm2Sw5G2xW0SPDm7,Abraham,4,2093,atmospheric sludge,482765,76951,7481,0.04
5KZkt6YYK9c2q0twZofJXk,The Hi-Ballin' Daddies,4,674,rockabilly en espanol,752678,50245,5342,0.05
2SyevwE69Tq3LYIesEeeTI,"St. Symeon Orthodox Church Trio ""Antiphony""",4,130,orthodox chant,424387,49561,6375,0.04
